炸彈同地雷比任何軍階大	炸彈和地雷比任何軍階大
老友唔記得去又一村牡丹路參加緩步跑練習	老兄忘記去又一村牡丹路參加緩步跑練習
佢一直都好忠誠可靠。	她總是忠誠和值得信賴的。
你間屋就快攪好囉噃	你的房子快搞好了喔
今個星期天氣忽冷忽熱，要小心身體唔好攝親呀！	本週氣溫由冷轉熱。 保重，別著涼。
車你	載你
當我哋下潛 ， 我哋注意到一件重要嘅嘢 當去到海底一公里嗰陣 我哋見唔到熒光生物	然後我們下水 ， 發現了一個重要的事情 ─ ─ 當我們達到 1000 米深時 ， 不知不覺得 。
減免學費	部分減免學費
我電腦個喇叭啲聲好空洞，係時候要換喇。	我的電腦揚聲器聽起來很空洞。 是時候買一個新的了。
2013年，楊憑星加坡片《爸媽不在家》獲得第50屆金馬獎最佳女配角及第56屆亞太影展最佳女配角。	楊雁雁在2013年憑新加坡電影《爸媽不在家》榮獲第50屆金馬獎最佳女配角及第56屆亞太影展最佳女配角。
諗落佢又有佢嘅道理。	轉念一想，他有他的理由。
呢個工友好盡責。	這個體力勞動者負責。
佢肥到拗唔到腰。	他太胖了，不能彎腰。
兜返住	補救起來
流浪貓喺大埔碗窰路嘅垃圾桶搵野食	流浪貓在大埔碗窯路的垃圾桶找東西喫
鬚子	鬍鬚
呢件放埋便，嗰件放出便。	這個應該放在裡面，那個應該放在外面。
硬弸弸	强行
2009年，彭經南方經視talk show節目《馬後炮》主持人馬志海推薦，到南方電視臺主持南方衛視新出嘅新聞評論節目《今日最新聞》。彭講嘢幽默耿直，經常以率直、強硬及詼諧嘅語言評論時事。	2009年，彭在南方經視脫口秀節目《馬後炮》主持人馬志海的推薦下來到南方電視臺，主持南方衛視新開播的新聞評論節目《今日最新聞》。彭說話幽默耿直，常以率直、強硬及詼諧的語言評論時事。
牌照持有人應該出示佢哋嘅牌照。	許可證持有人應出示其許可證。
好似好奇號咁嘅火星探測器 喺火星表面行走 尋找已知生命之源嘅線索	我們的火星車 「 好奇心號 」 爬行過火星的表面 ， 找到了我們認知的原始生命跡象 。
面對面	面對面
佢着衫着得好求奇。	他穿衣服很不小心。
參透生死	徹底了解生死
啲魚蛋咁嘅賣相真係令人唔開胃。	這些魚丸看起來真倒胃口。
佢個樣惡揗揗噉，邊個都怕	他氣勢洶洶的，誰都怕
佢啲背肌好紥實。	他的背部肌肉非常緊實。
你咁細個就學人食煙。	你這麼年輕，你還模仿別人抽煙。
唔忿氣	忍不下氣
我都将呢地天气数据转化成佐音符 。	我也把天氣數據譯成音符 。
最後 ， 我哋需要被清楚地告知 ﹐ 要採取點樣嘅行動 。	最後 ， 我們需要看到一個清晰的行動方向 。
驟眼睇	一眼看上去
我喺度，你唔使怯喎。	有我在，別怕！
對於公司投資失利，管理層語焉不詳。	對於公司的投資虧損，管理層極力掩飾。
一分錢一分貨	一分錢一分貨
你嗰時好得意咯！	你當時很可愛啊！
地膽	當地惡霸
頻撲	奔波
隻杯幾錢都冇所謂，最緊要你鍾意。	杯子值多少錢並不重要； 無論你喜歡它。
你成日話想幫佢，講白咗都係想攞佢著數啫。	你口口聲聲說要幫他，其實你隱藏的目的就是想佔他的便宜。
世上只有幾種蜂可以幫茄花傳粉 熊蜂係其中一種 佢地可以抓住朵花 ， 顫動飛行肌 發出類似 C 音頻率嘅聲波	少數能抓牢並搖動番茄花的蜂種當中 熊蜂是其中之一 牠們以近似Do音的頻率 ( 約 256 Hz ) 抖動控制飛行的肌肉群
潮州冷	一個潮州人
特別的沮喪	特別的沮喪
嗰陣時我係一個二十三歳嘅鬼仔，一間屋，一個煮食爐同雪櫃都冇。	那時我是一個二十三歲的白人男孩。 我什至沒有房子、煤氣爐或冰箱。
內陸國家	內陸國家
口音各異嘅粵語地區	口音各異的粵語地區
你感情線斷開，桃花弱。	手心有斷線，感情運不佳。
三胞胎	三胞胎
陳太唔鍾意阿女個男朋友，所以不斷留難佢。	陳太不喜歡女兒的男朋友，不斷刁難他。
頭刺	頭疼
你冇睇廉政行動？	你沒看廉政行動？
欺詐行為	欺騙行為
爛	污穢
死啦，咁爛市，我本都收唔翻	真糟，這麼滯銷，我連本錢也收不回來
你唔好喺度阻住晒啦！	你別在這兒礙手礙腳的！
呢間學院奉行 聖雄甘地嘅生活同工作文化	這所學院的文化 是追隨聖雄甘地的生活和工作習慣 .
firm實先揾我啦。	確認後與我交談。
食晒呢碗飯都幾飽肚。	把這一碗飯吃完，我覺得很飽。
佢喺三十碼外射入一球世界波，將比數改寫成一比零。	他在30碼外憑藉一記精彩絕殺將比分改寫為1比0。
你呢個人真係好唔中用。	你這個人真沒用。
成日攞人哋啲地盤呢，好快劃晒啲線喺度𡃉喎。	整天拿人家的地盤呢，很快劃了點線在這裏贏。
噉咪好犀利？	那不是很厲害？
外賣	外賣
放心	放心安心
我星期日上晝見你啦。	週日早上見。
你指天篤地，我都唔明你講乜。	你在胡說八道，所以我不知道你在說什麼。
寵物	寵物的
係唔係即係西洋joke？	是不是就是西洋joke？
今日梗落雨㗎。	今天肯定會下雨。
呢間屋睇落好舒服，而且闊落到不得了。	這所房子不僅非常舒適，而且非常寬敞。
假期我鍾意去離島行山。	假期裡，我喜歡到離島遠足。
大嫂要去汀角沙欄路嗰度買啲嘢	大嫂要去汀角沙欄路那裏買點東西
我仲爭啲怪錯咗你添！	我還差點錯怪了你！
嗰隻就係，誒，光大明輝。	那隻就是，淘氣，光大明輝。
開山祖師	創始人
中國發生大饑荒	中國發生大饑荒
（ 笑聲 ） 我用咗一 個方法去遵守依條規則 -- 就係唔好同一個有老婆企係隔離嘅男人打架 而且佢隻手睇起來好很有抓勁 。	( 笑聲 ) 我遵循這律法的方式就是 -- 不要和人打架 ， 如果他的太太就站在附近的話 , 且她看起來有很強的抓力 。
佢講嘢至鍾意加鹽加醋。	他說話時喜歡誇大其詞。
喺我前面嘅人行慢咗	走在我前面的人突然減慢了速度 。
請問你有無聽過坪洲對開海面烏蠅排喺邊度	請問你有沒有聽過坪洲對開海面蒼蠅排在哪裏
和《惡劣天氣下的工作安全指南》	和《惡劣天氣下的工作安全指南》
同級	同班同學
水喉老化	水管老化
通常啲老闆咪成日都唔喺度𠸏。	通常這些老闆別整天都不在。
再調整一下佢 、 測試佢 、 改良佢	再改進 ， 實驗 ， 提高質量 。
依家 ， 我哋睇到個數字跌咗 63 % 亦令到每年 110 萬個心臟病人 可以救得返	今天 ， 我們發現心臟病死亡率 已下降 63 ％ 每年死亡人數減少 110 萬 ， 一個值得注意的數字
中	贏
烏龍	什麼也不知道
聽日幾點鐘入場睇傑志對阿仙奴係最佳時間？	明天什麼時候去體育場觀看傑志對陣阿森納的比賽最好？
我哋都有文章 叫做 《 點可以喺五分鐘之內 扮成你冇淨係喺度喊 》	我們也有文章像是 「 如何讓妳看來不曾哭過 」
有冇攪錯？	是不是弄錯了？
呢排做嘢好忙呀，好多濕星嘢要跟。	這幾天很忙，很多東西。
佢副偈好得喎。	她的身材很好。
有隻烏蠅摟喺你碗白飯上。	一隻蒼蠅落在了你的米飯上。
今日我腰骨硬。	今天我的背部僵硬。
佢將個西瓜切開咗兩邊。	他把西瓜切成兩半。
係唔係㗎啫？	真的是這樣嗎？
即係	就是
進行改革	進行改革
監粗嚟	硬幹
佢逼我叫你選佢做班長	他逼我叫你選他當班長
唔好咬，一嘢吞落去。	別咬，吞下去！
吓，咪重好。唔使咁多人排長-，排隊。	啊，別更好。不用這麼多人排長 - ，排隊。
第三局賽事	第三組遊戲
仆街啦你！	去死吧！
科學家都唔知點解 人嘅左右腦會有交換分工	科學家不確定為何 會有左右交互作用
爆炸釋放出來嘅熱量引發地面森林大火 而且衝擊波將幾百平方英里嘅樹推倒	爆炸所產生的熱量 點燃了下面的森林 , 衝擊波 震到了幾百平方米的 樹 , 厲害嗎 ？
樹椏	樹枝椏
坑腩	牛肋骨下的肉
景轟	曖昧的事
省	使勁踢
我點痛都要死忍啦。	我不得不忍受疼痛，無論它有多強烈。
必然	必然的
童話故仔好多都描述到啲繼母好惡。	童話故事經常將繼母描述為惡棍。
一個堅持話東，一個堅持話西，梗係大纜絞唔埋啦。	一方堅持說A，另一方堅持說B，當然沒有辦法拉近他們之間的差距。
以前婚紗舖同影樓喺囍帖街開到成行成市。	多年前，婚紗店和攝影工作室在利東街蓬勃發展。
最後 ， 你可以喺啲人最多樂趣嘅地方 預見未來	娛樂帶給人們未來的發展無限可能
本地足球隊成日請外援幫手。	當地足球隊總是招募外援球員。
你有冇事啊？點解𥋇唔開眼？	你有什麼事嗎？ 為什麼睜不開眼睛？
食完飯瞌一陣	吃完飯打個盹兒
氣氛又冇反應又冇	氣氛又沒反應又沒
傻喇，我哩啲拍馬都拍唔上上喇真係。	傻了，我這些拍馬都拍不上上了真。
五十個學生度	五十個學生左右
原來頭先經過屯門青翠徑見到有個賣燒蕃薯嘅車仔	原來剛纔經過屯門青翠徑看見有個賣燒蕃薯的小車
自彈自唱	自己贊成
呢度係乜嘢地方，到你喺度喊打喊殺嘅咩！	這裡是什麼地方，能讓你在這兒叫喊打人殺人的嗎！
前面條路封咗，兜路行。	前面的路是封閉的，所以我們得繞路。
頭腦靈活	機智
打到	擊倒
流於表面	結果是膚淺的
好的 , 這是另一個 -- 我真的用了一點時間去牧羊 。	好的 , 這是另一個 -- 我花了很多時間牧羊 。
佢都咁大個囉，留佢係屋企賺晒米飯	他都已經這麼大了，留他在家裡白費米飯
我唔阻你啦，我買嘢先，拜拜！	我不耽擱你了，我去買東西，再見！
金融業係香港最重要嘅經濟支柱。	金融服務業是支撐香港經濟最重要的支柱。
食呢啲藥唔食得生冷嘢	服這種藥不能吃生的瓜菜和水果等東西
輸到一敗塗地	完全失去
今次你咁搞單大壇嘢出嚟，自己諗方法填氹啦！	這次是你惹了這麼大的麻煩。 自己想辦法對付吧！
佢大咗肚五個月，個肚梗係凸出嚟啦！	她懷孕五個月了。 肚子當然是鼓出來的！
脫歐呢件事反映咗 我哋唔為意我哋社會有幾分裂	它讓我們知道 ， 我們對社會分歧 的無知程度 。
阿慧搞㗎？	阿慧搞的？
夫妻檔	丈夫和妻子從事相同的職業或一起工作
口啞	嗓子啞
負面	負面的
呢度市中心，由朝到晚都咁墟冚。	這裡是鎮中心，從早到晚熱鬧非凡。
耳仔邊	耳仔旁
碗湯好鬼熱㗎！	這碗湯好燙！
英雄所見略同	英雄所見略同。
附近有間好靚嘅酒店，我哋去嗰度食	附近有一間很高級的飯店，我們去那裡吃
架電視喺邊處買㗎？	你在哪裡買的這台電視機？
忙故作鎮定說：「請問你是誰？」	忙故作鎮定說：「請問你是誰？」
作為成年人 我哋要識得諗話玩喺無最佳方式唧 多謝	我也認為 ， 作為成年人 ， 我們要學習認識 在玩這件事上 ， 並沒有什麼對或錯的方式 非常感謝
讀緊中三同個四十五歲嘅女人拍拖，仲唔係煲老藕？	一名中三學生與一名四十五歲女士發生關係？ 這不就是典型的“煮藕”嗎？
田基	田梗
你感冒就快啲去睇醫生啦，唔係就惹埋畀全家㗎喇	你感冒了就趕快去看病吧，要不然就會傳染給全家人的了
啃	咬
落咗妝仲認得你嗰啲，叫做化妝	下了妝還認得你那些，叫做化妝
等我舉一個具體嘅例子	讓我給你一個具體的例子 。
絕頂聰明	非常聰明
佢見到隻曱甴就慌，所以唔會入廚房。	如果她看到一隻蟑螂，她就會害怕，所以她不會去廚房。
摱車邊	攀附
個經理有嘗試 搵我哋唧偷拍攝影機	期間經理一直想要 追查到我們的攝影機
好聲行吖，因住仆親呀	小心走，當心摔著了
爺爺好鍾意去觀塘瑞和街食油炸鬼炒麵艇仔粥	爺爺很喜歡去觀塘瑞和街喫油條炒麪小船粥
早熟。早熟。	早熟。早熟。
「而家幾點啊？」「八點三。」	“現在幾點了？” “八點十五分。”
呢隻牌子自從俾人踢爆用假料之後，佢啲產品就變晒做賣剩蔗。	在製造過程中使用假材料的醜聞被曝光後，這個品牌的產品就沒人要了。
我哋第一步睇下個波飛去邊	我們首先弄清楚球會飛到哪裡
其中 97.5 % 係鹹水 2 % 係冰 我哋喺度爭地球上 0.5 % 嘅水	其中 97.5 % 是鹹水 2 % 是冰 我們為了地球上一半的水在爭吵 天無絕人之路
俾老母拍醒我	給老媽拍醒我
我姑媽住喺西半山康苑	我姑媽住在西半山康苑
好多疾病都係由細菌引起嘅。	許多疾病都是由細菌引起的。
啲愛國企業死哂去邊呀	一些愛國企業死光了去哪裏啊
班衰人做做埋埋咁多陰騭嘢一定有報應	班壞蛋做了那麼多虧壞東西一定有報應
維基同享有多媒體嘅嘢： Linköping	維基共享資源中相關的多媒體資源：林雪平
三幾個銀錢，幾咁閒	三幾塊錢，無所謂
phy chem bio	物理學、化學和生物學
通波仔時醫生用一個支架裏面嘅波仔嚟整闊條塞咗嘅血管。	在血管成形術期間，醫生使用支架內的氣球來擴張阻塞的血管。
咑令，今晚食乜餸啊？	親愛的，我們今晚吃什麼？
平機票啲時間通常都好閪。	廉價機票的時間段通常都是狗屎。
開坑	挖坑
繑絲邊	絞絲旁
佢做得零舍快	他幹得特別快
出埋	出產
您也可以加入我們的電郵群組	您也可以加入我們的電郵羣組
將啲錢存入呢個銀行帳户。	把錢存入這個銀行賬戶
滾水淥甩咗皮	開水燙得皮脫落了
咁牙煙你都夠膽死？	這麼危險你都敢幹？
大換血	大革新
爺爺好鍾意去荃灣登發街食油炸鬼炒麵艇仔粥	爺爺很喜歡去荃灣登發街喫油條炒麪小船粥
詳情	詳情
你寫張呎畀我就得喇。	給我寫張支票就好了。
我係部片嘅忠實擁躉 特別中意哈爾 9000	我愛上了這部電影裡的一切 ， 尤其是 「 豪爾－9000 」 。
